StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,Year3_Reading_At_Risk
793539920,20,24,31,32,29,29,36,37,5,5,3,3,4,5,2,4,5.4986301369863,Male,1,0,0,0,0,0,2,2,95,95,2,1,1,2018,False
550065192,22,23,26,29,32,32,39,47,3,4,2,2,1,2,2,2,5.36712328767123,Female,1,0,0,0,0,0,2,1,114,114,2,1,1,2020,False
181544661,26,30,29,28,31,31,47,48,1,4,1,2,3,3,2,2,6.07397260273973,Female,1,0,0,0,0,0,2,2,109,109,2,2,2,2020,False
351553699,5,12,18,18,17,23,9,34,1,3,0,1,1,1,2,2,5.47671232876712,Female,1,0,0,0,0,0,3,2,98,98,2,1,0,2017,True
458666003,5,8,21,25,21,27,21,22,1,3,0,2,1,0,0,2,5.08767123287671,Female,1,0,0,0,0,0,2,1,93,93,2,1,1,2020,True
717844892,8,10,21,19,17,26,28,33,2,3,1,1,1,2,0,2,5.5041095890411,Female,1,0,0,0,0,0,2,2,105,105,0,0,0,2020,False
970104490,11,17,25,25,24,25,29,29,2,3,2,2,2,4,2,2,5.48219178082192,Male,0,1,0,0,0,0,2,1,95,95,2,1,1,2017,False
492396580,31,30,30,28,30,30,22,32,3,3,2,2,3,2,2,2,5.63561643835616,Female,1,0,0,0,0,0,1,1,107,107,0,0,0,2017,False
182484108,25,23,29,34,31,31,51,45,2,1,1,1,1,3,2,2,4.57808219178082,Female,1,0,0,0,0,0,1,1,95,93,0,0,0,2021,False
878033251,9,13,21,22,26,28,23,31,2,2,1,2,1,1,0,2,5.15616438356164,Female,1,0,0,0,0,0,2,1,88,88,1,1,0,2018,False
372335068,28,24,24,27,29,30,12,48,4,5,3,4,4,4,2,3,5.62191780821918,Male,0,1,0,0,0,0,1,1,91,91,2,0,0,2020,False
179671693,13,14,16,20,21,25,14,26,2,2,1,1,1,1,0,2,5.3041095890411,Male,1,0,0,0,0,0,2,2,97,97,2,1,0,2017,False
875279737,14,21,27,27,30,28,7,30,2,4,1,2,0,2,1,2,5.01643835616438,Female,1,0,0,0,0,0,2,2,95,95,2,2,2,2020,False
919744899,12,15,19,17,25,26,20,25,1,4,1,2,1,2,2,2,5.54246575342466,Male,1,0,0,0,0,0,3,1,95,95,2,1,0,2018,False
329243759,15,17,20,22,26,24,27,40,1,3,1,2,2,4,2,2,5.24657534246575,Male,1,0,0,0,0,0,2,1,104,104,2,2,2,2020,False
544014395,16,23,30,30,31,31,33,33,2,5,1,2,2,4,0,2,5.13150684931507,Male,1,0,0,0,0,0,2,2,97,97,2,2,0,2017,False
513068878,12,13,21,20,23,30,12,14,2,2,1,1,1,2,1,2,4.84109589041096,Female,0,1,0,0,0,1,2,1,99,99,2,0,0,2020,False
441123075,10,12,19,19,25,28,14,35,3,2,2,2,3,2,0,2,5.15890410958904,Female,0,1,0,0,0,0,3,1,95,95,1,0,0,2018,False
578363755,8,11,20,24,24,26,9,36,0,2,1,2,2,1,0,2,6.14794520547945,Male,1,0,0,0,0,0,1,1,112,112,2,0,1,2020,False
955721271,8,14,21,17,23,27,10,38,0,2,1,1,0,2,0,2,5.37808219178082,Male,1,0,0,0,0,0,3,2,103,103,2,2,1,2020,False
353473413,7,20,20,23,25,29,33,36,3,3,2,1,4,4,0,0,5.20821917808219,Male,1,0,0,0,0,0,4,2,101,101,2,1,0,2016,False
380791193,8,11,24,19,25,26,8,26,2,3,1,2,1,3,1,2,5.75890410958904,Male,1,0,0,0,0,0,3,2,95,95,2,2,2,2017,False
728034553,16,22,25,25,31,31,27,37,2,2,2,2,2,2,2,2,5.21917808219178,Male,0,1,0,0,0,0,2,1,109,109,2,2,1,2020,False
417108271,12,16,22,25,29,28,4,41,2,3,1,1,1,2,2,2,4.61095890410959,Female,1,0,0,0,0,0,3,2,94,94,2,2,1,2020,False
146268551,8,13,18,25,23,30,18,12,1,2,1,1,1,2,0,2,5.24931506849315,Female,1,0,0,0,0,0,2,1,107,96,2,1,1,2021,False
292283419,8,12,19,17,21,24,9,14,2,2,1,1,1,3,0,2,4.69315068493151,Female,0,1,0,0,0,0,2,1,103,103,1,1,0,2017,False
453175077,9,15,23,21,22,29,15,39,2,3,1,2,2,4,2,2,5.59178082191781,Female,0,0,1,0,0,0,2,1,105,105,2,2,2,2020,False
